time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2021-08-07T18:32:08.400Z,43.7438422,-110.7602084,2737.872,-2.92,48.88,24.09,0.868,1.109,0.27,93.41868,0.00495,,16
2021-08-07T18:32:08.600Z,43.7438366,-110.7600871,2733.043,-3.55,48.88,24.11,0.867,1.104,0.27,94.15392,0.00494,,16
2021-08-07T18:32:08.800Z,43.7438297,-110.7599662,2728.231,-4.22,48.62,24.02,0.865,1.098,0.27,94.96059,0.00496,,16
2021-08-07T18:32:09.000Z,43.7438215,-110.7598455,2723.447,-4.91,48.72,23.63,0.864,1.093,0.27,95.75484,0.00497,,16
2021-08-07T18:32:09.200Z,43.7438119,-110.7597249,2718.776,-5.77,48.55,23,0.862,1.086,0.27,96.77761,0.005,,16
2021-08-07T18:32:09.400Z,43.743801,-110.7596048,2714.156,-6.37,48.4,22.87,0.86,1.081,0.27,97.49769,0.00501,,16
2021-08-07T18:32:09.600Z,43.743789,-110.7594847,2709.549,-7.05,48.39,22.9,0.858,1.074,0.28,98.28917,0.00519,,16
2021-08-07T18:32:09.800Z,43.7437757,-110.7593651,2704.947,-7.57,48.1,23,0.857,1.067,0.27,98.94388,0.00501,,16
2021-08-07T18:32:10.000Z,43.7437613,-110.7592458,2700.365,-8.15,48.03,23.11,0.855,1.06,0.27,99.63054,0.00501,,16
2021-08-07T18:32:10.200Z,43.7437458,-110.7591269,2695.792,-8.98,47.79,22.73,0.853,1.054,0.28,100.64209,0.00522,,16
2021-08-07T18:32:10.400Z,43.7437288,-110.7590085,2691.266,-9.86,47.61,22.59,0.852,1.048,0.28,101.70051,0.00522,,16
2021-08-07T18:32:10.600Z,43.7437105,-110.7588907,2686.735,-10.48,47.4,22.58,0.85,1.042,0.28,102.46736,0.00523,,16
2021-08-07T18:32:10.800Z,43.7436911,-110.7587732,2682.204,-11.15,47.28,22.66,0.849,1.037,0.28,103.26956,0.00522,,16
2021-08-07T18:32:11.000Z,43.7436708,-110.758656,2677.679,-11.46,47.18,22.54,0.848,1.032,0.28,103.65271,0.00523,,16
2021-08-07T18:32:11.200Z,43.7436498,-110.758539,2673.157,-11.86,47.11,22.33,0.847,1.03,0.27,104.13064,0.00505,,16
2021-08-07T18:32:11.400Z,43.7436283,-110.7584221,2668.663,-11.99,47.04,22.49,0.847,1.029,0.27,104.2996,0.00505,,16
2021-08-07T18:32:11.600Z,43.7436066,-110.7583055,2664.128,-12.09,46.88,22.77,0.847,1.029,0.26,104.46105,0.00486,,16
2021-08-07T18:32:11.800Z,43.7435851,-110.7581891,2659.574,-11.82,46.88,22.73,0.847,1.03,0.27,104.15121,0.00505,,16
2021-08-07T18:32:12.000Z,43.7435642,-110.7580726,2655.03,-11.44,46.94,22.57,0.848,1.033,0.25,103.69684,0.00469,,16
2021-08-07T18:32:12.200Z,43.743544,-110.7579559,2650.502,-10.96,47.02,22.48,0.848,1.036,0.24,103.12092,0.00451,,16
2021-08-07T18:32:12.400Z,43.7435248,-110.757839,2646.002,-10.38,47.06,22.44,0.848,1.039,0.25,102.43854,0.0047,,16
2021-08-07T18:32:12.600Z,43.7435066,-110.757722,2641.518,-9.8,47.18,22.43,0.854,1.049,0.43,101.73434,0.00809,,16
2021-08-07T18:32:12.800Z,43.7434896,-110.7576048,2637.038,-9.16,47.28,22.35,0.866,1.061,0.42,100.96461,0.00791,,16
2021-08-07T18:32:13.000Z,43.7434739,-110.7574871,2632.565,-8.41,47.44,22.23,0.87,1.065,0.24,100.05276,0.00452,,16
2021-08-07T18:32:13.200Z,43.7434595,-110.7573692,2628.105,-7.63,47.49,22.08,0.868,1.067,0.24,99.12745,0.00453,,16
2021-08-07T18:32:13.400Z,43.7434466,-110.7572513,2623.679,-6.83,47.5,21.8,0.869,1.072,0.26,98.18245,0.00493,,16
2021-08-07T18:32:13.600Z,43.7434351,-110.7571332,2619.262,-6.05,47.63,21.86,0.87,1.077,0.26,97.23899,0.00493,,16
2021-08-07T18:32:13.800Z,43.7434251,-110.7570149,2614.817,-5.23,47.71,21.95,0.871,1.082,0.26,96.25582,0.00493,,16
2021-08-07T18:32:14.000Z,43.7434168,-110.7568964,2610.443,-4.12,47.79,21.68,0.873,1.087,0.26,94.92732,0.00494,,16
2021-08-07T18:32:14.200Z,43.7434105,-110.7567779,2606.08,-3.02,47.77,21.67,0.873,1.09,0.25,93.6174,0.00476,,16
2021-08-07T18:32:14.400Z,43.7434065,-110.7566595,2601.668,-1.73,47.78,21.98,0.873,1.094,0.25,92.07364,0.00475,,16
2021-08-07T18:32:14.600Z,43.7434047,-110.7565411,2597.193,-0.57,47.72,22.25,0.873,1.097,0.25,90.68435,0.00475,,16
2021-08-07T18:32:14.800Z,43.743405,-110.7564228,2592.67,0.71,47.66,22.67,0.874,1.101,0.25,89.14652,0.00474,,16
2021-08-07T18:32:15.000Z,43.7434075,-110.7563047,2588.088,1.79,47.57,22.64,0.875,1.105,0.24,87.84505,0.00455,,16
2021-08-07T18:32:15.200Z,43.7434116,-110.7561865,2583.533,2.6,47.65,22.53,0.876,1.109,0.25,86.87678,0.00474,,16
2021-08-07T18:32:15.400Z,43.743417,-110.7560685,2579,3.08,47.54,22.36,0.876,1.112,0.23,86.29313,0.00437,,16
2021-08-07T18:32:15.600Z,43.7434231,-110.7559506,2574.459,3.46,47.51,22.32,0.876,1.116,0.23,85.83469,0.00437,,16
2021-08-07T18:32:15.800Z,43.7434299,-110.7558326,2569.957,3.88,47.58,22.4,0.876,1.12,0.24,85.33802,0.00455,,16
2021-08-07T18:32:16.000Z,43.7434373,-110.7557146,2565.466,4.17,47.53,22.19,0.876,1.123,0.23,84.98605,0.00437,,16
2021-08-07T18:32:16.200Z,43.7434452,-110.7555966,2560.982,4.27,47.64,22.08,0.876,1.126,0.23,84.87823,0.00437,,16
2021-08-07T18:32:16.400Z,43.7434532,-110.7554787,2556.51,4.45,47.4,22.36,0.877,1.13,0.24,84.63669,0.00456,,16
2021-08-07T18:32:16.600Z,43.7434615,-110.755361,2552.032,4.72,47.34,22.39,0.878,1.134,0.24,84.30618,0.00456,,16
2021-08-07T18:32:16.800Z,43.7434706,-110.7552436,2547.513,5.18,47.3,22.63,0.879,1.138,0.24,83.75023,0.00455,,16
2021-08-07T18:32:17.000Z,43.7434804,-110.7551264,2542.955,5.61,47.21,22.62,0.88,1.142,0.24,83.22328,0.00456,,16
2021-08-07T18:32:17.200Z,43.7434911,-110.7550094,2538.361,6.04,47.09,22.87,0.881,1.146,0.24,82.69086,0.00455,,16
2021-08-07T18:32:17.400Z,43.7435026,-110.7548928,2533.717,6.6,46.89,23.14,0.882,1.149,0.24,81.98797,0.00455,,16
2021-08-07T18:32:17.600Z,43.743515,-110.7547766,2529.055,7.18,46.74,23.42,0.883,1.153,0.25,81.26673,0.00474,,16
2021-08-07T18:32:17.800Z,43.7435288,-110.7546609,2524.288,7.95,46.49,23.77,0.883,1.155,0.25,80.29603,0.00473,,16
2021-08-07T18:32:18.000Z,43.7435439,-110.7545458,2519.498,8.69,46.29,23.95,0.884,1.158,0.25,79.36764,0.00473,,16
2021-08-07T18:32:18.200Z,43.7435602,-110.754431,2514.651,9.25,46.25,24.06,0.885,1.161,0.25,78.69007,0.00472,,16
2021-08-07T18:32:18.400Z,43.7435775,-110.7543168,2509.742,9.66,46.01,24.2,0.886,1.164,0.24,78.14273,0.00454,,16
2021-08-07T18:32:18.600Z,43.7435952,-110.7542027,2504.813,9.93,45.95,24.75,0.887,1.167,0.24,77.80565,0.00452,,16
2021-08-07T18:32:18.800Z,43.7436133,-110.7540891,2499.789,10.11,45.71,25.09,0.887,1.17,0.24,77.52827,0.00452,,16
2021-08-07T18:32:19.000Z,43.7436318,-110.7539755,2494.722,10.33,45.86,25.28,0.887,1.172,0.23,77.30594,0.00431,,16
2021-08-07T18:32:19.200Z,43.7436507,-110.7538616,2489.611,10.64,45.89,25.57,0.887,1.174,0.23,76.94613,0.00429,,16
2021-08-07T18:32:19.400Z,43.74367,-110.7537477,2484.476,10.77,45.95,25.55,0.886,1.175,0.23,76.80884,0.00429,,16
2021-08-07T18:32:19.600Z,43.7436893,-110.7536334,2479.391,10.73,46.07,25.48,0.886,1.178,0.24,76.88918,0.00447,,16
2021-08-07T18:32:19.800Z,43.7437085,-110.7535187,2474.263,10.59,46.33,25.51,0.886,1.18,0.24,77.12466,0.00445,,16
2021-08-07T18:32:20.000Z,43.7437275,-110.7534034,2469.153,10.43,46.59,25.39,0.887,1.184,0.24,77.38138,0.00444,,16
2021-08-07T18:32:20.200Z,43.7437458,-110.7532875,2464.11,9.87,46.77,24.93,0.888,1.187,0.24,78.08356,0.00445,,16
2021-08-07T18:32:20.400Z,43.7437632,-110.7531711,2459.129,9.48,46.94,24.78,0.889,1.19,0.24,78.58213,0.00445,,16
2021-08-07T18:32:20.600Z,43.7437801,-110.7530544,2454.125,9.23,47.12,24.7,0.891,1.193,0.25,78.91707,0.00463,,16
2021-08-07T18:32:20.800Z,43.7437966,-110.752937,2449.147,8.89,47.47,24.48,0.889,1.192,0.23,79.39273,0.00425,,16
2021-08-07T18:32:21.000Z,43.7438122,-110.7528191,2444.238,8.63,47.35,24.63,0.882,1.187,0.22,79.67066,0.00407,,16
2021-08-07T18:32:21.200Z,43.7438276,-110.7527011,2439.264,8.59,47.38,25.29,0.872,1.178,0.21,79.72389,0.00386,,16
2021-08-07T18:32:21.400Z,43.7438429,-110.7525835,2434.094,8.37,47.21,25.96,0.863,1.172,0.21,79.94633,0.00385,,16
2021-08-07T18:32:21.600Z,43.7438577,-110.752466,2428.897,8.33,47.23,26.48,0.855,1.166,0.2,79.99756,0.00365,,16
2021-08-07T18:32:21.800Z,43.7438727,-110.7523485,2423.65,8.27,47.46,25.85,0.854,1.167,0.23,80.11534,0.00421,,16
2021-08-07T18:32:22.000Z,43.7438874,-110.7522303,2418.513,8.17,47.71,25.43,0.854,1.169,0.23,80.28275,0.00421,,16
2021-08-07T18:32:22.200Z,43.7439019,-110.7521117,2413.445,7.82,47.88,24.9,0.854,1.17,0.23,80.72407,0.00422,,16
2021-08-07T18:32:22.400Z,43.7439159,-110.7519927,2408.415,7.72,48.08,24.78,0.854,1.171,0.23,80.87812,0.00421,,16
2021-08-07T18:32:22.600Z,43.7439298,-110.7518733,2403.421,7.49,48.14,24.53,0.854,1.172,0.23,81.15638,0.00422,,16
2021-08-07T18:32:22.800Z,43.743943,-110.7517537,2398.519,7.31,48.11,24.6,0.855,1.174,0.23,81.36036,0.00422,,16
2021-08-07T18:32:23.000Z,43.7439559,-110.7516341,2393.65,6.97,48.25,23.84,0.855,1.175,0.23,81.78014,0.00424,,16
2021-08-07T18:32:23.200Z,43.743968,-110.7515143,2388.853,6.49,48.4,23.72,0.856,1.175,0.24,82.36271,0.00442,,16
2021-08-07T18:32:23.400Z,43.7439793,-110.751394,2384.145,6.06,48.51,23.53,0.862,1.184,0.43,82.87934,0.00793,,16
2021-08-07T18:32:23.600Z,43.7439898,-110.7512736,2379.435,5.55,48.53,23.37,0.873,1.194,0.43,83.47587,0.00794,,16
2021-08-07T18:32:23.800Z,43.7439991,-110.7511534,2374.748,4.78,48.4,23.24,0.885,1.206,0.45,84.35974,0.00835,,16
2021-08-07T18:32:24.000Z,43.744007,-110.7510333,2370.149,4.09,48.48,22.9,0.889,1.201,0.27,85.17768,0.00502,,16
2021-08-07T18:32:24.200Z,43.7440136,-110.750913,2365.612,3.38,48.57,22.57,0.888,1.194,0.27,86.01919,0.00503,,16
2021-08-07T18:32:24.400Z,43.744019,-110.7507927,2361.124,2.77,48.4,22.45,0.886,1.188,0.27,86.72446,0.00505,,16
2021-08-07T18:32:24.600Z,43.7440235,-110.7506727,2356.653,2.43,48.34,22.41,0.884,1.182,0.25,87.12222,0.00469,,16
2021-08-07T18:32:24.800Z,43.7440273,-110.7505525,2352.307,2.04,48.51,21.54,0.879,1.176,0.22,87.59195,0.00414,,16
2021-08-07T18:32:25.000Z,43.7440303,-110.7504323,2348.232,1.4,48.5,19.31,0.873,1.169,0.22,88.34656,0.00421,,16
2021-08-07T18:32:25.200Z,43.7440323,-110.7503119,2344.57,1.03,48.51,17.61,0.867,1.163,0.21,88.78364,0.00407,,16
2021-08-07T18:32:25.400Z,43.744034,-110.7501917,2341.155,0.86,48.39,16.39,0.862,1.159,0.21,88.98183,0.00411,,16
2021-08-07T18:32:25.600Z,43.7440354,-110.7500719,2337.979,0.74,48.24,15.25,0.858,1.156,0.21,89.12115,0.00415,,16
2021-08-07T18:32:25.800Z,43.7440366,-110.7499525,2335.053,0.56,47.95,13.9,0.854,1.152,0.22,89.33088,0.00441,,16
2021-08-07T18:32:26.000Z,43.7440372,-110.7498339,2332.395,0.16,47.62,12.73,0.85,1.148,0.22,89.80749,0.00446,,16
2021-08-07T18:32:26.200Z,43.7440372,-110.7497163,2329.953,-0.09,47.19,11.75,0.846,1.143,0.23,90.10927,0.00473,,16
2021-08-07T18:32:26.400Z,43.7440367,-110.7495998,2327.665,-0.35,46.77,11.17,0.843,1.138,0.23,90.42876,0.00478,,16
2021-08-07T18:32:26.600Z,43.7440357,-110.7494841,2325.5,-0.67,46.38,10.57,0.837,1.133,0.21,90.82763,0.00441,,16
2021-08-07T18:32:26.800Z,43.7440341,-110.7493696,2323.496,-1.05,45.83,9.68,0.832,1.127,0.21,91.31246,0.00448,,16
2021-08-07T18:32:27.000Z,43.7440318,-110.7492567,2321.749,-1.3,45.19,8.34,0.827,1.121,0.21,91.6478,0.00457,,16
2021-08-07T18:32:27.200Z,43.7440291,-110.7491454,2320.291,-1.46,44.46,6.86,0.823,1.116,0.22,91.88083,0.00489,,16
2021-08-07T18:32:27.400Z,43.7440261,-110.7490365,2319.127,-1.69,43.36,5.19,0.818,1.109,0.22,92.23203,0.00503,,16
2021-08-07T18:32:27.600Z,43.7440225,-110.7489306,2318.342,-2.12,41.99,3.14,0.814,1.103,0.22,92.89031,0.00522,,16
2021-08-07T18:32:27.800Z,43.7440181,-110.7488282,2317.904,-2.63,40.52,1.52,0.811,1.098,0.22,93.71364,0.00541,,16
2021-08-07T18:32:28.000Z,43.7440132,-110.7487299,2317.734,-2.86,38.72,0.09,0.808,1.093,0.22,94.2244,0.00567,,16
2021-08-07T18:32:28.200Z,43.744008,-110.7486358,2317.863,-2.86,37.09,-1.31,0.805,1.09,0.21,94.40934,0.00564,,16
2021-08-07T18:32:28.400Z,43.7440027,-110.7485462,2318.294,-2.92,35.22,-2.74,0.803,1.086,0.2,94.73941,0.00564,,16
2021-08-07T18:32:28.600Z,43.7439972,-110.7484617,2318.996,-3.09,32.89,-4.07,0.799,1.081,0.2,95.36716,0.00601,,17
2021-08-07T18:32:28.800Z,43.7439916,-110.7483824,2319.911,-3.06,31.07,-4.86,0.795,1.076,0.19,95.62477,0.00601,,17
2021-08-07T18:32:29.000Z,43.743986,-110.7483076,2320.927,-3.07,29.26,-5.24,0.792,1.071,0.19,95.98964,0.00636,,17
2021-08-07T18:32:29.200Z,43.7439803,-110.7482371,2321.99,-3.13,27.61,-5.43,0.787,1.067,0.18,96.46771,0.00636,,17
2021-08-07T18:32:29.400Z,43.7439747,-110.7481704,2323.076,-3,26.18,-5.37,0.782,1.061,0.17,96.53708,0.00632,,17
2021-08-07T18:32:29.600Z,43.7439694,-110.748107,2324.099,-2.83,25,-5.13,0.777,1.056,0.16,96.45839,0.00623,,17
2021-08-07T18:32:29.800Z,43.7439645,-110.7480464,2325.057,-2.57,23.83,-4.68,0.772,1.051,0.16,96.1554,0.00655,,17
2021-08-07T18:32:30.000Z,43.7439597,-110.747989,2325.904,-2.7,22.35,-3.75,0.767,1.047,0.17,96.88826,0.00745,,17
2021-08-07T18:32:30.200Z,43.7439552,-110.747934,2326.546,-2.12,21.88,-2.72,0.762,1.041,0.16,95.53424,0.00722,,17
2021-08-07T18:32:30.400Z,43.7439514,-110.7478801,2326.898,-2.09,21.38,-1.19,0.758,1.037,0.17,95.5832,0.0079,,17
2021-08-07T18:32:30.600Z,43.7439479,-110.7478268,2326.941,-1.87,21.47,0.34,0.754,1.034,0.17,94.9778,0.00789,,17
2021-08-07T18:32:30.800Z,43.743945,-110.7477738,2326.733,-1.3,21.14,1.57,0.752,1.031,0.19,93.51896,0.00895,,17
2021-08-07T18:32:31.000Z,43.743942,-110.7477217,2326.296,-1.87,20.68,2.84,0.75,1.028,0.2,95.16695,0.00954,,17
2021-08-07T18:32:31.200Z,43.7439386,-110.7476703,2325.515,-1.75,20.68,4.85,0.747,1.025,0.18,94.83701,0.00845,,17
2021-08-07T18:32:31.400Z,43.7439354,-110.7476193,2324.395,-1.82,20.36,5.95,0.743,1.02,0.18,95.10815,0.00845,,17
2021-08-07T18:32:31.600Z,43.7439324,-110.7475684,2323.036,-1.58,20.51,7.27,0.739,1.015,0.19,94.40511,0.00871,,17
2021-08-07T18:32:31.800Z,43.7439293,-110.7475183,2321.465,-1.97,19.86,7.93,0.736,1.01,0.2,95.66489,0.00931,,17
2021-08-07T18:32:32.000Z,43.7439266,-110.7474714,2319.929,-0.9,17.91,7.59,0.733,1.004,0.21,92.87677,0.01078,,17
2021-08-07T18:32:32.200Z,43.7439252,-110.7474293,2318.291,-0.74,16.04,8.22,0.729,1,0.19,92.64145,0.01053,,17
2021-08-07T18:32:32.400Z,43.7439241,-110.7473957,2316.225,-0.73,11.13,11.37,0.726,0.998,0.23,93.75257,0.01444,,17
2021-08-07T18:32:32.600Z,43.743922,-110.7473661,2313.485,-1.6,12.76,15.63,0.723,1.001,0.3,97.14712,0.01482,,17
2021-08-07T18:32:32.800Z,43.74392,-110.7473335,2310.64,-0.81,13.36,12.86,0.73,1.015,0.47,93.46952,0.02532,,17
2021-08-07T18:32:33.000Z,43.74392,-110.7473052,2308.285,0.36,9.56,10.75,0.743,1.04,0.54,87.84344,0.03752,,17
2021-08-07T18:32:33.200Z,43.7439214,-110.747284,2306.35,0.92,7.58,9.35,0.755,1.071,0.55,83.07974,0.04556,,17
2021-08-07T18:32:33.400Z,43.743922,-110.747267,2304.546,-0.07,6.28,9.51,0.763,1.096,0.51,90.63862,0.04475,,17
2021-08-07T18:32:33.600Z,43.7439214,-110.7472529,2302.722,-0.29,4.97,8.82,0.762,1.104,0.43,93.33943,0.04246,,17
2021-08-07T18:32:33.800Z,43.7439205,-110.747245,2301.047,-0.67,1.49,8.39,0.76,1.116,0.47,114.21175,0.05499,,17
2021-08-07T18:32:34.000Z,43.7439194,-110.7472422,2299.461,-0.78,0.84,7.29,0.758,1.124,0.45,132.8789,0.06098,,17
2021-08-07T18:32:34.200Z,43.7439175,-110.7472396,2298.088,-1.54,1.14,6.43,0.754,1.122,0.41,143.48894,0.06111,,17
2021-08-07T18:32:34.400Z,43.7439142,-110.7472367,2296.838,-2.12,0.95,6.26,0.749,1.115,0.34,155.86222,0.05092,,17
2021-08-07T18:32:34.600Z,43.7439102,-110.747234,2295.588,-2.52,1.45,6.17,0.745,1.106,0.26,150.08401,0.03812,,17
2021-08-07T18:32:34.800Z,43.7439058,-110.7472307,2294.348,-2.55,1.46,5.98,0.74,1.095,0.25,150.20675,0.03752,,17
2021-08-07T18:32:35.000Z,43.7439009,-110.747227,2293.081,-3.02,1.59,6.47,0.734,1.08,0.25,152.23364,0.03418,,17
2021-08-07T18:32:35.200Z,43.7438951,-110.7472233,2291.777,-3.55,1.51,6.58,0.728,1.068,0.24,156.95742,0.03147,,17
2021-08-07T18:32:35.400Z,43.7438881,-110.7472196,2290.472,-4.28,1.54,6.8,0.723,1.055,0.24,160.2106,0.02934,,17
2021-08-07T18:32:35.600Z,43.7438798,-110.7472156,2289.04,-5.08,1.8,7.21,0.718,1.044,0.24,160.4892,0.02666,,17
2021-08-07T18:32:35.800Z,43.74387,-110.7472108,2287.619,-5.63,2.21,7.35,0.712,1.031,0.23,158.56801,0.02416,,17
2021-08-07T18:32:36.000Z,43.7438586,-110.7472052,2286.175,-6.81,2.25,7.25,0.707,1.018,0.23,161.71663,0.02255,,17
2021-08-07T18:32:36.200Z,43.7438455,-110.7471998,2284.901,-7.66,2.24,6.67,0.701,1.001,0.23,163.69959,0.02211,,17
2021-08-07T18:32:36.400Z,43.7438317,-110.747195,2283.61,-7.78,1.93,5.82,0.697,0.989,0.21,166.06777,0.0212,,17
2021-08-07T18:32:36.600Z,43.7438177,-110.7471898,2282.445,-8.17,2.16,5.18,0.693,0.979,0.21,165.19087,0.02119,,17
2021-08-07T18:32:36.800Z,43.7438029,-110.7471843,2281.468,-8.52,2.23,4.44,0.689,0.967,0.18,165.3326,0.01825,,17
2021-08-07T18:32:37.000Z,43.7437877,-110.7471786,2280.652,-8.69,2.18,3.82,0.684,0.956,0.17,165.91723,0.01745,,17
2021-08-07T18:32:37.200Z,43.7437719,-110.7471729,2279.979,-9.09,2.3,3.19,0.679,0.945,0.18,165.80073,0.01817,,17
2021-08-07T18:32:37.400Z,43.7437559,-110.7471681,2279.428,-8.92,1.67,2.66,0.675,0.934,0.18,169.39586,0.01903,,17
2021-08-07T18:32:37.600Z,43.7437401,-110.7471643,2278.963,-8.87,1.38,2.18,0.671,0.925,0.18,171.15678,0.01949,,17
2021-08-07T18:32:37.800Z,43.7437243,-110.7471616,2278.589,-8.79,0.87,1.91,0.668,0.915,0.19,174.3475,0.02102,,17
2021-08-07T18:32:38.000Z,43.7437088,-110.7471596,2278.155,-8.66,0.89,1.75,0.664,0.906,0.19,174.13224,0.0214,,17
2021-08-07T18:32:38.200Z,43.7436937,-110.7471583,2277.892,-8.25,0.02,1.13,0.661,0.898,0.16,179.8611,0.01921,,17
2021-08-07T18:32:38.400Z,43.7436789,-110.7471581,2277.632,-8.45,0.04,1.14,0.655,0.888,0.14,179.72878,0.01642,,17
2021-08-07T18:32:38.600Z,43.7436639,-110.7471583,2277.347,-8.5,-0.18,1.03,0.65,0.88,0.14,181.21314,0.01635,,17
2021-08-07T18:32:38.800Z,43.7436492,-110.7471592,2277.095,-8.14,-0.44,0.95,0.647,0.875,0.15,183.09406,0.01828,,17
2021-08-07T18:32:39.000Z,43.7436347,-110.7471606,2276.835,-8.07,-0.71,1.14,0.643,0.871,0.15,185.02795,0.01834,,17
2021-08-07T18:32:39.200Z,43.7436211,-110.7471625,2276.583,-7.12,-0.7,1.07,0.64,0.867,0.14,185.61497,0.01935,,17
2021-08-07T18:32:39.400Z,43.7436084,-110.7471639,2276.321,-7.03,-0.37,1,0.636,0.86,0.15,183.01279,0.0211,,17
2021-08-07T18:32:39.600Z,43.743595,-110.7471666,2276.049,-8.05,-1.71,1.61,0.633,0.854,0.16,191.99264,0.01908,,17
2021-08-07T18:32:39.800Z,43.743581,-110.74717,2275.654,-7.64,-1.18,1.94,0.629,0.847,0.14,188.77997,0.01757,,17
2021-08-07T18:32:40.000Z,43.7435681,-110.7471729,2275.268,-6.83,-1.29,1.66,0.625,0.841,0.14,190.69561,0.01959,,17
2021-08-07T18:32:40.200Z,43.743556,-110.7471757,2274.947,-6.58,-1.09,1.62,0.621,0.835,0.14,189.40583,0.0204,,17
2021-08-07T18:32:40.400Z,43.7435443,-110.7471793,2274.571,-6.47,-1.84,2.25,0.617,0.829,0.15,195.87519,0.02115,,17
2021-08-07T18:32:40.600Z,43.7435336,-110.7471833,2274.153,-5.57,-1.44,2.17,0.614,0.823,0.17,194.49518,0.02765,,17
2021-08-07T18:32:40.800Z,43.7435243,-110.7471863,2273.611,-4.93,-1.02,3.64,0.613,0.82,0.21,191.68937,0.0338,,17
2021-08-07T18:32:41.000Z,43.743514,-110.7471893,2272.907,-6.61,-1.35,3.35,0.615,0.822,0.27,191.54311,0.03585,,17
2021-08-07T18:32:41.200Z,43.7435028,-110.7471923,2272.354,-5.97,-1.01,2.26,0.62,0.829,0.26,189.60233,0.04023,,16
2021-08-07T18:32:41.400Z,43.7434924,-110.7471953,2271.846,-5.81,-1.41,2.86,0.625,0.837,0.28,193.64111,0.04225,,17
2021-08-07T18:32:41.600Z,43.7434817,-110.7471996,2271.387,-6.14,-1.8,2.09,0.629,0.844,0.24,196.33901,0.03566,,16
2021-08-07T18:32:41.800Z,43.7434703,-110.7472036,2270.795,-6.64,-1.41,3.52,0.631,0.848,0.28,191.98864,0.03662,,15
2021-08-07T18:32:42.000Z,43.7434584,-110.7472071,2270.083,-6.61,-1.44,3.71,0.634,0.846,0.27,192.28996,0.03499,,15
2021-08-07T18:32:42.200Z,43.7434463,-110.7472104,2269.328,-6.82,-1.04,3.8,0.635,0.842,0.24,188.67039,0.03047,,17
2021-08-07T18:32:42.400Z,43.743434,-110.7472126,2268.541,-6.84,-0.87,3.93,0.637,0.84,0.26,187.2487,0.03276,,17
2021-08-07T18:32:42.600Z,43.7434218,-110.7472147,2267.781,-6.87,-0.59,3.91,0.638,0.835,0.23,184.90855,0.02902,,17
2021-08-07T18:32:42.800Z,43.7434091,-110.747216,2267.003,-7.09,-0.33,3.71,0.638,0.833,0.22,182.66488,0.02747,,17
2021-08-07T18:32:43.000Z,43.7433965,-110.7472168,2266.22,-7.01,-0.26,4.32,0.637,0.828,0.22,182.12412,0.0267,,17
2021-08-07T18:32:43.200Z,43.7433839,-110.7472174,2265.341,-6.98,-0.17,4.38,0.636,0.825,0.21,181.39518,0.02548,,17
2021-08-07T18:32:43.400Z,43.7433708,-110.7472178,2264.421,-7.65,-0.17,4.96,0.636,0.82,0.21,181.27303,0.02303,,17
2021-08-07T18:32:43.600Z,43.743357,-110.747218,2263.422,-7.7,0.12,5.07,0.636,0.82,0.23,179.10715,0.02495,,17
2021-08-07T18:32:43.800Z,43.7433424,-110.7472168,2262.385,-8.45,0.53,5.61,0.637,0.82,0.24,176.411,0.02363,,17
2021-08-07T18:32:44.000Z,43.743327,-110.7472153,2261.256,-8.74,0.77,5.65,0.638,0.819,0.24,174.9652,0.023,,17
2021-08-07T18:32:44.200Z,43.7433116,-110.7472134,2260.1,-8.48,0.74,5.68,0.64,0.817,0.23,175.01277,0.02248,,17
2021-08-07T18:32:44.400Z,43.7432966,-110.7472113,2258.935,-8.41,1.12,5.57,0.641,0.815,0.22,172.41428,0.02168,,17
2021-08-07T18:32:44.600Z,43.7432808,-110.7472083,2257.808,-9.31,1.18,5.78,0.641,0.812,0.21,172.77654,0.01905,,17
2021-08-07T18:32:44.800Z,43.7432641,-110.7472052,2256.59,-9.42,1.37,5.94,0.639,0.808,0.19,171.72519,0.01693,,17
2021-08-07T18:32:45.000Z,43.7432473,-110.747202,2255.384,-9.45,1.06,5.96,0.637,0.805,0.19,173.59992,0.01693,,17
2021-08-07T18:32:45.200Z,43.7432303,-110.7471998,2254.167,-9.69,0.58,6.11,0.634,0.801,0.18,176.57462,0.01569,,17
2021-08-07T18:32:45.400Z,43.7432128,-110.7471988,2252.954,-9.79,0.16,6.13,0.632,0.8,0.17,179.06369,0.01472,,17
2021-08-07T18:32:45.600Z,43.7431952,-110.7471993,2251.741,-9.88,-0.48,6.1,0.63,0.799,0.18,182.78141,0.01549,,17
2021-08-07T18:32:45.800Z,43.7431775,-110.7472018,2250.496,-9.72,-1.6,6.53,0.629,0.799,0.2,189.34758,0.01692,,17
2021-08-07T18:32:46.000Z,43.7431602,-110.7472069,2249.118,-9.55,-2.45,7.03,0.629,0.8,0.2,194.38861,0.01652,,17
2021-08-07T18:32:46.200Z,43.7431431,-110.7472139,2247.65,-9.53,-3.25,7.78,0.629,0.8,0.21,198.83083,0.0165,,17
2021-08-07T18:32:46.400Z,43.7431264,-110.7472234,2246.047,-9.05,-4.51,8.4,0.63,0.801,0.21,206.48903,0.01598,,17
