$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,cea79a704166401ccbefe9ce
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,35534.751,"6/15 timers used before active mode initialization"
$EVNT,37195.261,"----------"
$EVNT,37195.264,"1128/2048 slots used in GNSS buffer"
$EVNT,37195.273,"0 ms average time spent in GNSS update task"
$EVNT,37195.276,"3 ms maximum time spent in GNSS update task"
$EVNT,37195.279,"107 ms maximum time between calls to GNSS update task"
$EVNT,37195.284,"----------"
$EVNT,37195.287,"1713/2048 slots used in audio buffer"
$EVNT,37195.291,"0 ms average time spent in audio update task"
$EVNT,37195.294,"1 ms maximum time spent in audio update task"
$EVNT,37195.297,"47 ms maximum time between calls to audio update task"
$EVNT,37195.300,"----------"
$EVNT,37195.304,"6/15 timers used after active mode de-initialization"
$EVNT,37195.310,"----------"
$EVNT,37195.313,"1/30 slots used in $BARO message buffer"
$EVNT,37195.316,"1/3 slots used in $HUM message buffer"
$EVNT,37195.320,"2/15 slots used in $MAG message buffer"
$EVNT,37195.324,"3/6 slots used in $GNSS message buffer"
$EVNT,37195.327,"1/2 slots used in $TIME message buffer"
$EVNT,37195.334,"3/5 slots used in $RAW message buffer"
$EVNT,37195.338,"3/667 slots used in $IMU message buffer"
$EVNT,37195.341,"1/2 slots used in $VBAT message buffer"
$EVNT,37195.347,"----------"
$EVNT,37195.350,"1 ms average time spent in log update task"
$EVNT,37195.353,"56 ms maximum time spent in log update task"
$EVNT,37195.358,"68 ms maximum time between calls to log update task"
$EVNT,37195.361,"----------"
$EVNT,37195.364,"3 ms average time spent in log sync task"
$EVNT,37195.367,"43 ms maximum time spent in log sync task"
$EVNT,37195.370,"360 ms maximum time between calls to log sync task"
